5.49779	0.0014
5.50207	0.0013
5.50636	0.0012
5.51065	0.00111
5.51495	0.00103
5.51924	9.58E-04
5.52354	8.89E-04
5.52785	8.24E-04
5.53215	7.64E-04
5.53646	7.08E-04
5.54078	6.57E-04
5.5451	6.09E-04
5.54942	5.65E-04
5.55374	5.24E-04
5.55807	4.85E-04
5.5624	4.50E-04
5.56673	4.17E-04
5.57107	3.87E-04
5.57541	3.59E-04
5.58085	3.33E-04
5.58651	3.09E-04
5.59218	2.86E-04
5.59785	2.66E-04
5.60353	2.47E-04
5.60921	2.29E-04
5.6149	2.12E-04
5.6206	1.97E-04
5.6263	1.83E-04
5.632	1.69E-04
5.63772	1.57E-04
5.64343	1.46E-04
5.64916	1.35E-04
5.65489	1.25E-04
5.66072	1.16E-04
5.66701	1.08E-04
5.67332	1.00E-04
5.67963	9.30E-05
5.68594	8.63E-05
5.69226	8.01E-05
5.69859	7.43E-05
5.70493	6.90E-05
5.71231	6.40E-05
5.72092	5.95E-05
5.72955	5.53E-05
5.73819	5.14E-05
5.74684	4.77E-05
5.75551	4.43E-05
5.76419	4.12E-05
5.77288	3.83E-05
5.78159	3.56E-05
5.79031	3.30E-05
5.79904	3.07E-05
5.80936	2.86E-05
5.81992	2.66E-05
5.83049	2.47E-05
5.84107	2.30E-05
5.85168	2.14E-05
5.86231	1.99E-05
5.87296	1.85E-05
5.88362	1.72E-05
5.89431	1.60E-05
5.90589	1.49E-05
5.91866	1.39E-05
5.93146	1.30E-05
5.94428	1.21E-05
5.95713	1.13E-05
5.97001	1.05E-05
5.98292	9.78E-06
5.99585	9.12E-06
6.00882	8.50E-06
6.02291	7.93E-06
6.03714	7.40E-06
6.0514	6.90E-06
6.06569	6.44E-06
6.08002	6.01E-06
6.09438	5.61E-06
6.10877	5.23E-06
6.1232	4.88E-06
6.13822	4.56E-06
6.15485	4.26E-06
6.17153	3.99E-06
6.18825	3.73E-06
6.20502	3.49E-06
6.22183	3.26E-06
6.23869	3.05E-06
6.2556	2.85E-06
6.27255	2.67E-06
6.29089	2.50E-06
6.30933	2.34E-06
6.32783	2.20E-06
6.34639	2.06E-06
6.365	1.93E-06
6.38366	1.81E-06
6.40238	1.69E-06
6.42116	1.59E-06
6.43999	1.49E-06
6.45887	1.39E-06
6.47855	1.31E-06
6.50097	1.23E-06
6.52347	1.16E-06
6.54605	1.09E-06
6.5687	1.03E-06
6.59143	9.67E-07
6.61425	9.10E-07
6.63714	8.57E-07
6.66011	8.07E-07
6.68316	7.60E-07
